,Rank,Country,Population2023,Density(P/Km²),Land Area(Km²),Migrants(net),Fert.Rate,MedianAge,UrbanPop%,WorldShare,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
0,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Kuhestan,151,Unhealthy,1,Good,41,Good,0,Good,151,Unhealthy
1,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Qunduz,117,Unhealthy for Sensitive Groups,1,Good,44,Good,0,Good,117,Unhealthy for Sensitive Groups
2,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Rostaq,113,Unhealthy for Sensitive Groups,1,Good,42,Good,0,Good,113,Unhealthy for Sensitive Groups
3,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Tokzar,77,Moderate,1,Good,40,Good,0,Good,77,Moderate
4,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Carikar,67,Moderate,0,Good,37,Good,0,Good,67,Moderate
5,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Uruzgan,57,Moderate,0,Good,38,Good,0,Good,57,Moderate
6,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Herat,83,Moderate,1,Good,41,Good,0,Good,83,Moderate
7,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Baglan,72,Moderate,1,Good,44,Good,0,Good,72,Moderate
8,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Andarab,104,Unhealthy for Sensitive Groups,0,Good,34,Good,0,Good,104,Unhealthy for Sensitive Groups
9,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Nahrin,99,Moderate,1,Good,49,Good,0,Good,99,Moderate
10,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Sangin,84,Moderate,1,Good,64,Moderate,0,Good,84,Moderate
11,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Taloqan,127,Unhealthy for Sensitive Groups,1,Good,29,Good,0,Good,127,Unhealthy for Sensitive Groups
12,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Baraki Barak,67,Moderate,0,Good,41,Good,0,Good,67,Moderate
13,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Aybak,74,Moderate,1,Good,41,Good,0,Good,74,Moderate
14,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Ciras,90,Moderate,0,Good,26,Good,0,Good,90,Moderate
15,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Bagrami,102,Unhealthy for Sensitive Groups,1,Good,40,Good,0,Good,102,Unhealthy for Sensitive Groups
16,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Azrow,72,Moderate,0,Good,48,Good,0,Good,72,Moderate
17,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Khowst,94,Moderate,1,Good,54,Moderate,0,Good,94,Moderate
18,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Nuristan,59,Moderate,0,Good,37,Good,0,Good,59,Moderate
19,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Orgun,84,Moderate,0,Good,37,Good,0,Good,84,Moderate
20,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Mirabad,165,Unhealthy,1,Good,45,Good,0,Good,165,Unhealthy
21,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Qandahar,56,Moderate,0,Good,33,Good,0,Good,56,Moderate
22,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Panjab,83,Moderate,0,Good,28,Good,0,Good,83,Moderate
23,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Asmar,151,Unhealthy,2,Good,48,Good,1,Good,151,Unhealthy
24,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Gardez,82,Moderate,0,Good,40,Good,0,Good,82,Moderate
25,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Acin,62,Moderate,0,Good,46,Good,0,Good,62,Moderate
26,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Sindand,161,Unhealthy,1,Good,45,Good,0,Good,161,Unhealthy
27,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Mehtar Lam,63,Moderate,1,Good,45,Good,0,Good,63,Moderate
28,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Cah Ab,123,Unhealthy for Sensitive Groups,1,Good,47,Good,0,Good,123,Unhealthy for Sensitive Groups
29,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Deh Rawud,49,Good,0,Good,49,Good,0,Good,47,Good
30,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Sar E Pul,95,Moderate,1,Good,34,Good,0,Good,95,Moderate
31,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Kusk,198,Unhealthy,1,Good,35,Good,0,Good,198,Unhealthy
32,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Dawlatabad,92,Moderate,1,Good,43,Good,0,Good,92,Moderate
33,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Lar Gerd,70,Moderate,0,Good,34,Good,0,Good,70,Moderate
34,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Sahrak,68,Moderate,0,Good,32,Good,0,Good,68,Moderate
35,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Kabul,64,Moderate,0,Good,41,Good,0,Good,64,Moderate
36,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Anar Darreh,126,Unhealthy for Sensitive Groups,1,Good,42,Good,0,Good,126,Unhealthy for Sensitive Groups
37,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Jurm,128,Unhealthy for Sensitive Groups,0,Good,26,Good,0,Good,128,Unhealthy for Sensitive Groups
38,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Pagman,87,Moderate,0,Good,39,Good,0,Good,87,Moderate
39,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Shibarghan,95,Moderate,1,Good,43,Good,0,Good,95,Moderate
40,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Qarqin,65,Moderate,1,Good,49,Good,0,Good,65,Moderate
41,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Zaranj,133,Unhealthy for Sensitive Groups,1,Good,46,Good,0,Good,133,Unhealthy for Sensitive Groups
42,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Farah,103,Unhealthy for Sensitive Groups,1,Good,42,Good,0,Good,103,Unhealthy for Sensitive Groups
43,36,Afghanistan,42239854,65,652860,-65846,4.4,17.0,26 %,0.53 %,Geresk,106,Unhealthy for Sensitive Groups,1,Good,39,Good,0,Good,106,Unhealthy for Sensitive Groups
